Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2064,1,2,1,1,6,9,1,31,14.0,1.0,7.0,12.0,1.0,8.0,3.0,1.0,,,,,,,,,,
2065,1,3,1,1,1,1,6,9,2.0,2.0,26.0,2.0,39.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,
2066,9,2,4,5,1,1,2,2,26.0,6.0,6.0,3.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,,
2067,1,3,3,26,4,8,5,1,12.0,4.0,1.0,9.0,1.0,,,,,,,,,,,,,
2068,1,1,3,1,2,2,12,26,4.0,14.0,8.0,4.0,8.0,6.0,6.0,1.0,1.0,,,,,,,,,
2069,9,3,4,5,5,45,4,8,5.0,3.0,2.0,6.0,2.0,1.0,2.0,,,,,,,,,,,
2070,2,1,3,1,7,15,27,29,3.0,6.0,2.0,1.0,3.0,,,,,,,,,,,,,
2071,1,5,3,1,1,6,10,4,28.0,6.0,3.0,8.0,2.0,2.0,4.0,2.0,,,,,,,,,,
2072,1,2,2,2,2,1,22,3,11.0,1.0,9.0,,,,,,,,,,,,,,,
2073,1,1,1,16,2,1,3,1,2.0,12.0,7.0,27.0,4.0,13.0,1.0,1.0,1.0,,,,,,,,,
2074,1,2,2,1,2,3,7,1,1.0,10.0,4.0,3.0,31.0,1.0,10.0,2.0,6.0,14.0,1.0,1.0,1.0,,,,,
2075,1,1,1,13,5,12,8,8,1.0,3.0,4.0,1.0,8.0,2.0,3.0,5.0,2.0,,,,,,,,,
2076,1,2,6,4,5,2,3,1,21.0,35.0,7.0,4.0,5.0,5.0,,,,,,,,,,,,
2077,1,1,1,5,2,8,1,1,33.0,4.0,16.0,4.0,35.0,2.0,2.0,5.0,1.0,,,,,,,,,
2078,3,1,1,3,1,1,8,5,19.0,57.0,2.0,12.0,1.0,4.0,,,,,,,,,,,,
2079,4,4,3,10,3,1,6,68,1.0,1.0,6.0,8.0,,,,,,,,,,,,,,
2080,4,2,6,1,4,2,4,1,2.0,20.0,1.0,9.0,16.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,,,,,,
2081,4,15,4,41,40,1,1,1,11.0,3.0,4.0,,,,,,,,,,,,,,,
2082,1,1,5,15,7,23,5,27,6.0,10.0,4.0,6.0,,,,,,,,,,,,,,
2083,1,1,1,1,1,1,21,1,2.0,10.0,6.0,4.0,23.0,5.0,3.0,3.0,1.0,,,,,,,,,
2084,1,2,1,2,7,4,8,3,2.0,2.0,17.0,5.0,8.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,,,,,,
2085,3,1,2,8,19,1,1,1,2.0,1.0,19.0,16.0,1.0,10.0,1.0,2.0,,,,,,,,,,
2086,1,1,1,2,4,4,2,59,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,
2087,8,1,1,2,6,11,28,24,2.0,1.0,2.0,2.0,1.0,9.0,2.0,1.0,4.0,1.0,,,,,,,,
2088,1,3,1,3,4,1,1,4,1.0,4.0,2.0,5.0,19.0,5.0,6.0,4.0,12.0,3.0,,,,,,,,
2089,1,1,2,1,1,6,3,22,3.0,37.0,2.0,3.0,3.0,6.0,1.0,1.0,4.0,,,,,,,,,
2090,1,9,3,1,2,3,3,2,2.0,7.0,4.0,7.0,4.0,9.0,1.0,4.0,4.0,11.0,1.0,2.0,,,,,,
2091,1,2,2,2,1,5,6,21,21.0,10.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,,,,,,,
2092,1,3,2,6,2,1,3,12,1.0,3.0,14.0,24.0,1.0,11.0,10.0,3.0,4.0,,,,,,,,,
2093,3,1,3,2,12,2,8,1,1.0,8.0,1.0,1.0,6.0,1.0,9.0,2.0,1.0,,,,,,,,,
2094,1,1,1,4,1,1,2,4,1.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,18.0,4.0,4.0,4.0,9.0,5.0,2.0,2.0,,
2095,4,1,8,4,1,9,3,5,22.0,21.0,1.0,2.0,1.0,1.0,8.0,,,,,,,,,,,
2096,1,5,1,10,4,5,6,7,3.0,9.0,10.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,
2097,7,2,1,14,9,1,35,27,1.0,1.0,8.0,3.0,,,,,,,,,,,,,,
2098,2,2,1,3,3,1,6,2,28.0,26.0,1.0,9.0,,,,,,,,,,,,,,
