Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2074,1,1,1,2,3.0,8.0,4.0,32.0,9.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,,,,,
2075,1,2,1,5,17.0,7.0,3.0,3.0,10.0,4.0,6.0,15.0,12.0,6.0,4.0,1.0,3.0,3.0,2.0,3.0,,,,
2076,4,2,1,15,1.0,13.0,9.0,1.0,2.0,9.0,10.0,18.0,2.0,3.0,1.0,6.0,,,,,,,,
2077,1,3,4,5,7.0,2.0,3.0,1.0,3.0,1.0,6.0,1.0,11.0,1.0,1.0,2.0,2.0,11.0,1.0,,,,,
2078,3,1,62,15,4.0,2.0,15.0,,,,,,,,,,,,,,,,,
2079,14,10,2,8,2.0,15.0,3.0,24.0,1.0,3.0,6.0,13.0,12.0,,,,,,,,,,,
2080,2,8,5,1,5.0,9.0,5.0,5.0,3.0,20.0,10.0,12.0,1.0,9.0,1.0,1.0,1.0,,,,,,,
2081,1,1,3,4,2.0,12.0,8.0,14.0,7.0,1.0,28.0,1.0,3.0,3.0,10.0,2.0,,,,,,,,
2082,1,2,2,8,2.0,2.0,2.0,2.0,3.0,46.0,1.0,3.0,2.0,14.0,2.0,,,,,,,,,
2083,3,1,2,10,1.0,1.0,1.0,10.0,2.0,35.0,8.0,1.0,2.0,3.0,1.0,1.0,4.0,,,,,,,
2084,1,1,3,1,3.0,6.0,2.0,12.0,2.0,4.0,2.0,9.0,4.0,5.0,4.0,8.0,6.0,2.0,2.0,4.0,3.0,,,
2085,12,87,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
2086,1,1,3,5,3.0,1.0,21.0,16.0,1.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,1.0,,,,,,
2087,4,1,1,1,2.0,1.0,4.0,41.0,1.0,6.0,6.0,5.0,2.0,7.0,1.0,1.0,,,,,,,,
2088,1,3,8,8,4.0,8.0,1.0,1.0,1.0,2.0,19.0,5.0,1.0,13.0,9.0,3.0,2.0,2.0,3.0,14.0,,,,
2089,1,2,3,1,1.0,3.0,7.0,2.0,2.0,17.0,3.0,1.0,3.0,4.0,,,,,,,,,,
2090,4,1,1,1,12.0,27.0,26.0,2.0,2.0,9.0,1.0,3.0,,,,,,,,,,,,
2091,1,15,2,2,4.0,23.0,13.0,8.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,
2092,1,5,8,22,1.0,10.0,3.0,1.0,5.0,15.0,27.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,
2093,4,1,3,2,1.0,12.0,1.0,15.0,1.0,1.0,10.0,2.0,2.0,6.0,1.0,9.0,4.0,1.0,,,,,,
2094,8,1,1,2,1.0,2.0,5.0,5.0,19.0,1.0,8.0,2.0,5.0,6.0,9.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,
2095,10,1,2,4,4.0,11.0,12.0,36.0,3.0,1.0,2.0,1.0,8.0,1.0,6.0,1.0,,,,,,,,
2096,1,19,2,11,1.0,10.0,20.0,15.0,3.0,1.0,7.0,1.0,1.0,1.0,,,,,,,,,,
2097,1,17,1,10,3.0,1.0,8.0,8.0,2.0,1.0,3.0,2.0,3.0,4.0,19.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,
2098,2,2,2,7,16.0,9.0,23.0,1.0,7.0,10.0,1.0,2.0,3.0,2.0,,,,,,,,,,
